,btc,eth,ltc,xrp
2018-02-28 09:52:14.089710,8688.64,710.5,173.72,0.74587
2018-02-28 09:52:24.592696,8688.64,710.5,173.72,0.74587
2018-02-28 09:52:34.879495,8688.64,710.5,173.72,0.74587
2018-02-28 09:52:45.075590,8688.64,710.5,173.72,0.74587
2018-02-28 09:52:55.488652,8674.39,710.5,173.72,0.74936
2018-02-28 09:53:05.892282,8693.0,710.5,173.72,0.74936
2018-02-28 09:53:16.175779,8694.49,710.5,174.43,0.74936
2018-02-28 09:53:26.561253,8694.49,710.5,174.43,0.74936
2018-02-28 09:53:36.856574,8694.49,710.5,174.43,0.74955
2018-02-28 09:53:47.134289,8695.02,710.5,174.43,0.74967
2018-02-28 09:53:57.698278,8695.02,710.5,174.43,0.74967
2018-02-28 09:54:07.957927,8695.02,710.5,174.43,0.749
2018-02-28 09:54:18.512259,8695.02,710.5,174.43,0.74992
2018-02-28 09:54:28.820557,8695.02,711.0,174.43,0.74443
2018-02-28 09:54:39.204958,8679.64,711.0,174.43,0.74445
2018-02-28 09:54:49.634236,8679.64,711.0,174.43,0.74445
2018-02-28 09:54:59.965868,8679.64,711.13,174.43,0.74924
2018-02-28 09:55:10.349688,8695.02,711.13,174.43,0.74924
2018-02-28 09:55:20.782275,8695.02,711.84,174.43,0.74924
2018-02-28 09:55:31.505125,8690.0,711.84,174.34,0.74924
2018-02-28 09:55:41.801601,8694.03,711.84,174.34,0.74924
2018-02-28 09:55:52.203027,8695.02,711.84,174.34,0.74924
2018-02-28 09:56:02.877222,8671.41,711.35,174.36,0.7492
2018-02-28 09:56:13.123369,8671.41,711.35,174.36,0.7492
2018-02-28 09:56:23.507454,8680.92,711.35,174.36,0.7492
2018-02-28 09:56:33.908747,8680.92,711.35,173.9,0.7492
2018-02-28 09:56:44.247000,8680.92,711.35,173.9,0.7492
2018-02-28 09:56:54.743339,8680.92,711.35,173.9,0.7492
2018-02-28 09:57:05.134856,8671.91,710.74,173.9,0.7492
2018-02-28 09:57:15.625037,8695.02,710.74,173.9,0.7492
2018-02-28 09:57:26.103361,8695.02,710.74,173.55,0.7492
2018-02-28 09:57:36.480115,8695.02,710.74,173.55,0.74523
2018-02-28 09:57:46.678355,8695.02,710.74,173.55,0.74523
2018-02-28 09:57:57.043706,8695.02,710.74,173.55,0.74523
2018-02-28 09:58:07.557355,8680.22,711.12,173.55,0.74523
2018-02-28 09:58:17.874871,8670.01,711.12,173.55,0.74523
2018-02-28 09:58:28.369388,8685.4,711.12,173.89,0.74523
2018-02-28 09:58:38.674884,8684.6,711.12,173.73,0.74523
2018-02-28 09:58:49.063632,8684.5,711.12,173.73,0.74523
2018-02-28 09:58:59.273741,8684.5,711.12,173.73,0.74523
2018-02-28 09:59:09.564606,8668.08,710.03,173.73,0.74523
2018-02-28 09:59:19.863674,8668.08,710.08,173.55,0.74825
2018-02-28 09:59:30.262445,8668.08,707.55,173.55,0.74825
2018-02-28 09:59:40.934008,8657.56,707.55,173.86,0.74523
2018-02-28 09:59:51.427413,8676.7,707.55,173.87,0.74523
2018-02-28 10:00:01.910223,8676.7,707.55,173.89,0.74523
2018-02-28 10:00:12.170119,8676.8,707.59,173.89,0.74523
