,24h_volume_eur,24h_volume_usd,available_supply,cached,id,last_updated,market_cap_eur,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_eur,price_usd,rank,symbol,total_supply
2018-01-30 22:01:00,32510273.1786,40282200.0,247744100.0,True,steem,1517349548,980518758.0,1214922203.0,,Steem,-1.25,-16.72,12.62,0.00048262,3.9577885282,4.90394,27,STEEM,264718194.0
2018-01-30 22:10:00,32470242.8538,40232600.0,247744100.0,True,steem,1517349849,978871211.0,1212880792.0,,Steem,-1.33,-16.86,12.41,0.00048205,3.9511383291000004,4.8957,27,STEEM,264718194.0
2018-01-30 22:20:00,33160039.5999,41087300.0,247746339.0,True,steem,1517350750,1003243586.0,1243079643.0,,Steem,0.87,-14.81,15.26,0.00049073,4.0494789556,5.01755,27,STEEM,264720433.0
2018-01-30 22:30:00,33992525.0844,42118800.0,247746339.0,True,steem,1517351349,1024797862.0,1269786698.0,,Steem,2.75,-13.02,17.81,0.00050011,4.1364803471,5.12535,25,STEEM,264720433.0
2018-01-30 22:40:00,33803753.0487,41884900.0,247747242.0,True,steem,1517351949,1015288090.0,1258003514.0,,Steem,1.94,-13.82,16.82,0.00049355,4.0980802895,5.07777,26,STEEM,264721336.0
2018-01-30 22:50:00,32882652.0468,40743600.0,247747242.0,True,steem,1517352550,990858488.0,1227733756.0,,Steem,0.22,-15.87,14.15,0.00048274,3.9994733322000013,4.95559,27,STEEM,264721336.0
2018-01-30 23:01:00,32823736.4478,40670600.0,247748150.0,True,steem,1517353149,989898369.0,1226544110.0,,Steem,0.2,-15.88,14.15,0.00048415,3.9955832885,4.95077,27,STEEM,264722244.0
2018-01-30 23:10:00,32779025.1576,40615200.0,247748150.0,True,steem,1517353749,986713191.0,1222597481.0,,Steem,-0.59,-16.08,13.86,0.00048524,3.9827267749,4.93484,27,STEEM,264722244.0
2018-01-30 23:20:00,32735766.5808,40561600.0,247754212.0,True,steem,1517354349,986599368.0,1222456447.0,,Steem,-1.74,-16.02,13.96,0.00048753,3.9821699014,4.93415,27,STEEM,264728306.0
2018-01-30 23:30:00,32701304.9907,40518900.0,247754212.0,True,steem,1517354949,983850011.0,1219049827.0,,Steem,-2.81,-16.1,13.77,0.00048985,3.9710727851999996,4.9204,27,STEEM,264728306.0
2018-01-30 23:40:00,32373072.4686,40112200.0,247755114.0,True,steem,1517355550,956439898.0,1185087036.0,,Steem,-5.22,-18.3,10.67,0.00047399,3.8604244479,4.7833,27,STEEM,264729208.0
2018-01-30 23:50:00,32053798.3458,39716600.0,247755114.0,True,steem,1517356148,937840179.0,1162040855.0,,Steem,-6.52,-19.81,8.56,0.00046631,3.7853514476,4.6902800000000004,27,STEEM,264729208.0
2018-01-31 00:01:00,32558581.6248,40389600.0,247756009.0,True,steem,1517356749,947854006.0,1175832677.0,,Steem,-4.35,-18.51,9.96,0.00047454,3.8257558701,4.74593,27,STEEM,264730103.0
2018-01-31 00:10:00,31602209.1616,39203200.0,247756009.0,True,steem,1517357349,916234441.0,1136607945.0,,Steem,-7.14,-21.09,6.37,0.00045928,3.6981320599000003,4.58761,27,STEEM,264730103.0
2018-01-31 00:20:00,31208422.9611,38714700.0,247757370.0,True,steem,1517357949,902105257.0,1119080398.0,,Steem,-8.41,-21.96,4.82,0.00045022,3.6410834429,4.51684,27,STEEM,264731464.0
2018-01-31 00:30:00,31760529.7548,39399600.0,247757370.0,True,steem,1517358548,908897749.0,1127506627.0,,Steem,-7.2,-21.2,5.65,0.00045175,3.6684993460000004,4.55085,27,STEEM,264731464.0
2018-01-31 00:40:00,31306526.9132,38836400.0,247758269.0,True,steem,1517359150,897319219.0,1113143218.0,,Steem,-6.18,-21.82,4.4,0.00044906,3.6217528532,4.49286,27,STEEM,264732363.0
2018-01-31 00:50:00,30519680.0139,37860300.0,247758269.0,True,steem,1517359750,851916607.0,1056820330.0,,Steem,-9.51,-25.54,-0.84,0.00043482,3.4384991849,4.26553,29,STEEM,264732363.0
2018-01-31 01:01:00,30409081.3103,37723100.0,247759177.0,True,steem,1517360349,836734871.0,1037987070.0,,Steem,-10.12,-26.7,-2.58,0.00043037,3.3772104135000003,4.1895,29,STEEM,264733271.0
2018-01-31 01:10:00,29939439.8765,37140500.0,247759177.0,True,steem,1517360950,808400326.0,1002837476.0,,Steem,-11.99,-28.91,-5.84,0.0004198000000000001,3.2628471622000004,4.047630000000002,29,STEEM,264733271.0
2018-01-31 01:20:00,31554084.2155,39143500.0,247761884.0,True,steem,1517361551,852394395.0,1057413036.0,,Steem,-6.21,-24.79,-0.69,0.00043332,3.4403774282,4.26786,29,STEEM,264735978.0
2018-01-31 01:31:00,31797610.9528,39445600.0,247761884.0,True,steem,1517362149,867004211.0,1075536818.0,,Steem,-3.53,-23.23,1.0,0.00044463,3.4993445941,4.34101,27,STEEM,264735978.0
2018-01-31 01:41:00,30584330.2765,37940500.0,247762792.0,True,steem,1517362750,837637855.0,1039107240.0,,Steem,-4.79,-25.6,-2.38,0.00043081,3.3808056775,4.19396,29,STEEM,264736886.0
2018-01-31 01:50:00,30942405.6711,38384700.0,247762792.0,True,steem,1517363351,851289046.0,1056041827.0,,Steem,-0.17,-24.19,-0.78,0.00043655,3.4359035010000003,4.26231,28,STEEM,264736886.0
2018-01-31 02:01:00,31252033.6744,38768800.0,247763697.0,True,steem,1517363949,868883978.0,1077868708.0,,Steem,3.7,-22.39,1.27,0.00044378,3.5069059341,4.35039,28,STEEM,264737791.0
2018-01-31 02:10:00,32049037.5975,39757500.0,247763697.0,True,steem,1517364549,893855662.0,1108846603.0,,Steem,6.58,-20.0,4.17,0.00045443,3.6076942425,4.47542,27,STEEM,264737791.0
2018-01-31 02:20:00,32394860.0745,40186500.0,247778308.0,True,steem,1517365149,894687350.0,1109878329.0,,Steem,5.94,-19.64,4.24,0.0004527,3.6108380832,4.47932,27,STEEM,264752402.0
2018-01-31 02:30:00,32079105.6124,39794800.0,247778308.0,True,steem,1517365749,880172439.0,1091872279.0,,Steem,3.12,-20.84,2.52,0.00044576,3.5522578514,4.40665,28,STEEM,264752402.0
2018-01-31 02:40:00,35046971.8445,43476500.0,247779208.0,True,steem,1517366349,947549277.0,1175454653.0,,Steem,10.85,-14.59,10.36,0.00047861,3.8241678275,4.74396,26,STEEM,264753302.0
2018-01-31 02:50:00,40450508.5061,50179700.0,247779208.0,True,steem,1517366949,1010742398.0,1253847039.0,,Steem,18.15,-8.79,17.71,0.00051238,4.0792058584,5.06034,25,STEEM,264753302.0
2018-01-31 03:01:00,45651952.6386,56632200.0,247780125.0,True,steem,1517367549,1051017468.0,1303809104.0,,Steem,20.75,-5.14,22.4,0.00052655,4.2417343615,5.26196,25,STEEM,264754219.0
2018-01-31 03:10:00,46628236.0929,57843300.0,247780125.0,True,steem,1517368149,1024354339.0,1270732935.0,,Steem,16.07,-7.59,19.29,0.00051196,4.1341263371,5.12847,25,STEEM,264754219.0
2018-01-31 03:20:00,46833230.6288,58097600.0,247789390.0,True,steem,1517368749,1010807903.0,1253928299.0,,Steem,13.64,-8.82,17.71,0.00050533,4.079302592,5.06046,25,STEEM,264763484.0
2018-01-31 03:30:00,47341162.4301,58727700.0,247789390.0,True,steem,1517369350,992774812.0,1231557873.0,,Steem,7.8,-10.49,15.59,0.00050095,4.0065267102999975,4.97018,25,STEEM,264763484.0
2018-01-31 03:40:00,48286732.9791,59900700.0,247790300.0,True,steem,1517369949,989256915.0,1227193849.0,,Steem,4.18,-10.8,15.16,0.00050068,3.9923149381,4.95255,25,STEEM,264764394.0
