,24h_volume_eur,24h_volume_usd,available_supply,cached,id,last_updated,market_cap_eur,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_eur,price_usd,rank,symbol,total_supply
2018-01-24 22:56:00,1608515725.23,1992930000.0,38739142811.0,True,ripple,1516830841,42231112944.0,52323798021.0,100000000000,Ripple,-0.22,-2.12,11.43,0.00012036,1.0901406144,1.35067,3,XRP,99993093880.0
2018-01-24 22:58:00,1608515725.23,1992930000.0,38739142811.0,True,ripple,1516830841,42231112944.0,52323798021.0,100000000000,Ripple,-0.22,-2.12,11.43,0.00012036,1.0901406143999999,1.35067,3,XRP,99993093880.0
2018-01-24 23:09:00,1592825487.39,1973490000.0,38739142811.0,True,ripple,1516831741,42244870331.0,52340843243.0,100000000000,Ripple,-0.18,-2.0,10.49,0.00012037,1.0904957432,1.35111,3,XRP,99993093880.0
2018-01-25 00:14:00,1510435596.51,1871410000.0,38739142811.0,True,ripple,1516835370,41907189017.0,51922460501.0,100000000000,Ripple,-0.73,-1.89,6.49,0.00011985,1.0817789443999999,1.3403100000000001,3,XRP,99993093880.0
2018-01-25 08:08:00,1377356876.8,1712960000.0,38739142811.0,True,ripple,1516863841,42805152694.0,53234942659.0,100000000000,Ripple,0.18,0.95,-4.26,0.00011942,1.1049586952,1.37419,3,XRP,99993093880.0
2018-01-25 08:17:00,1373191742.4,1707780000.0,38739142811.0,True,ripple,1516864441,42983015596.0,53456143165.0,100000000000,Ripple,0.34,1.23,-4.07,0.00011956,1.109549992,1.3799,3,XRP,99993093880.0
2018-01-25 21:07:00,860322976.24,1074320000.0,38739142811.0,True,ripple,1516910641,40906059460.0,51081046319.0,100000000000,Ripple,-0.36,-2.68,-18.99,0.00011766,1.0559361021,1.31859,3,XRP,99993093880.0
2018-01-25 21:35:00,846076619.71,1056530000.0,38739142811.0,True,ripple,1516916041,40884343656.0,51053928919.0,100000000000,Ripple,-0.76,-2.54,-19.01,0.00011740000000000002,1.0553755372,1.31789,3,XRP,99993093880.0
2018-01-25 22:06:00,845556095.16,1055880000.0,38739142811.0,True,ripple,1516917841,41155480977.0,51392509027.0,100000000000,Ripple,-0.02,-1.67,-18.33,0.00011777,1.0623745904000002,1.32663,3,XRP,99993093880.0
2018-01-25 22:10:00,845307844.99,1055570000.0,38739142811.0,True,ripple,1516918141,41152999171.0,51389409896.0,100000000000,Ripple,0.03,-1.63,-18.29,0.00011773,1.0623105259,1.32655,3,XRP,99993093880.0
2018-01-25 22:13:00,845307844.99,1055570000.0,38739142811.0,True,ripple,1516918141,41152999171.0,51389409896.0,100000000000,Ripple,0.03,-1.63,-18.29,0.00011773,1.0623105259,1.32655,3,XRP,99993093880.0
2018-01-25 22:15:00,845307844.99,1055570000.0,38739142811.0,True,ripple,1516918141,41152999171.0,51389409896.0,100000000000,Ripple,0.03,-1.63,-18.29,0.00011773,1.0623105259,1.32655,3,XRP,99993093880.0
2018-01-25 22:20:00,844418949.22,1054460000.0,38739142811.0,True,ripple,1516918741,41217215904.0,51469599922.0,100000000000,Ripple,0.37,-1.4,-18.09,0.00011772,1.0639681963,1.32862,3,XRP,99993093880.0
2018-01-25 22:25:00,844418949.22,1054460000.0,38739142811.0,True,ripple,1516918741,41217215904.0,51469599922.0,100000000000,Ripple,0.37,-1.4,-18.09,0.00011772,1.0639681963,1.3286200000000001,3,XRP,99993093880.0
2018-01-25 22:50:00,833079522.1,1040300000.0,38739142811.0,True,ripple,1516920541,41124768626.0,51354157276.0,100000000000,Ripple,0.39,-1.63,-18.1,0.00011789,1.0615817915,1.32564,3,XRP,99993093880.0
2018-01-25 23:01:00,827818220.11,1033730000.0,38739142811.0,True,ripple,1516921141,40977721612.0,51170533739.0,100000000000,Ripple,-0.17,-2.0,-18.38,0.00011826,1.0577859663,1.3209,3,XRP,99993093880.0
2018-01-25 23:10:00,822188546.9,1026700000.0,38739142811.0,True,ripple,1516921741,40799031570.0,50947396276.0,100000000000,Ripple,-0.79,-2.45,-18.72,0.00011805,1.053173318,1.31514,3,XRP,99993093880.0
2018-01-25 23:20:00,822300659.88,1026840000.0,38739142811.0,True,ripple,1516922341,40812681504.0,50964441499.0,100000000000,Ripple,-0.87,-2.42,-18.67,0.00011776,1.0535256731,1.31558,3,XRP,99993093880.0
2018-01-25 23:30:00,819361698.19,1023170000.0,38739142811.0,True,ripple,1516922941,40813301955.0,50965216282.0,100000000000,Ripple,-0.83,-2.43,-18.66,0.0001178,1.0535416892,1.3156,3,XRP,99993093880.0
2018-01-25 23:40:00,812907193.77,1015110000.0,38739142811.0,True,ripple,1516923541,40677112843.0,50795151445.0,100000000000,Ripple,-1.11,-2.78,-18.92,0.00011755,1.0500261465,1.31121,3,XRP,99993093880.0
2018-01-25 23:50:00,805940172.87,1006410000.0,38739142811.0,True,ripple,1516924141,40628717624.0,50734718382.0,100000000000,Ripple,-1.07,-2.95,-19.0,0.00011751,1.0487768876,1.30965,3,XRP,99993093880.0
