,24h_volume_eur,24h_volume_usd,available_supply,cached,id,last_updated,market_cap_eur,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_eur,price_usd,rank,symbol,total_supply
2018-01-30 22:01:00,218603505.36900002,270863000.0,73846004.0,True,qtum,1517349555,2270507469.0,2813296445.0,,Qtum,-0.66,-12.47,-4.36,0.00374928,30.7465176984,38.0968,16,QTUM,100346004.0
2018-01-30 22:10:00,219994881.981,272587000.0,73846004.0,True,qtum,1517350156,2284822999.0,2831034255.0,,Qtum,0.7,-11.85,-3.76,0.00376895,30.940374231,38.337,16,QTUM,100346004.0
2018-01-30 22:20:00,221360432.57700002,274279000.0,73846016.0,True,qtum,1517350756,2290759370.0,2838389779.0,,Qtum,1.03,-11.58,-3.47,0.00375917,31.020757705799998,38.4366,16,QTUM,100346016.0
2018-01-30 22:30:00,226168913.931,280237000.0,73846016.0,True,qtum,1517351354,2339641967.0,2898958281.0,,Qtum,3.07,-9.67,-1.39,0.0038305,31.6827107784,39.2568,16,QTUM,100346016.0
2018-01-30 22:40:00,225463540.86900002,279363000.0,73846016.0,True,qtum,1517351955,2330976362.0,2888221070.0,,Qtum,2.53,-10.0,-1.69,0.00380155,31.5653638182,39.1114,16,QTUM,100346016.0
2018-01-30 22:50:00,223735618.986,277222000.0,73846016.0,True,qtum,1517352556,2322650467.0,2877904782.0,,Qtum,2.17,-10.29,-1.97,0.00379636,31.4526171171,38.9717,16,QTUM,100346016.0
2018-01-30 23:01:00,224329617.354,277958000.0,73846080.0,True,qtum,1517353155,2321216157.0,2876127585.0,,Qtum,2.07,-10.33,-1.99,0.0038088,31.4331668988,38.9476,16,QTUM,100346080.0
2018-01-30 23:10:00,223479780.015,276905000.0,73846080.0,True,qtum,1517353755,2305595407.0,2856772528.0,,Qtum,0.98,-10.9,-2.57,0.00380395,31.2216356865,38.6855,16,QTUM,100346080.0
2018-01-30 23:20:00,222973751.51400003,276278000.0,73846116.0,True,qtum,1517354355,2294278782.0,2842750543.0,,Qtum,-0.14,-11.32,-3.02,0.00380368,31.0683744228,38.4956,16,QTUM,100346116.0
2018-01-30 23:30:00,221685678.966,274682000.0,73846116.0,True,qtum,1517354955,2276583996.0,2820825631.0,,Qtum,-1.76,-12.0,-3.7,0.00380288,30.8287574181,38.1987,16,QTUM,100346116.0
2018-01-30 23:40:00,220930267.998,273746000.0,73846140.0,True,qtum,1517355555,2244270437.0,2780787171.0,,Qtum,-3.53,-13.22,-5.04,0.00373146,30.391167859499998,37.6565,16,QTUM,100346140.0
2018-01-30 23:50:00,220065903.525,272675000.0,73846140.0,True,qtum,1517356156,2215478407.0,2745112101.0,,Qtum,-4.7,-14.29,-6.23,0.00369577,30.0012757242,37.1734,16,QTUM,100346140.0
2018-01-31 00:01:00,222358209.92,275840000.0,73846192.0,True,qtum,1517356755,2222229970.0,2756722655.0,,Qtum,-3.9,-13.88,-5.81,0.00373265,30.092681957800004,37.3306,16,QTUM,100346192.0
2018-01-31 00:10:00,221595627.022,274894000.0,73846192.0,True,qtum,1517357355,2206246601.0,2736894953.0,,Qtum,-4.23,-14.39,-6.45,0.00371039,29.8762406173,37.0621,16,QTUM,100346192.0
2018-01-31 00:20:00,222594401.029,276133000.0,73846224.0,True,qtum,1517357955,2203312807.0,2733255520.0,,Qtum,-3.84,-14.41,-6.52,0.00368931,29.8364992464,37.0128,16,QTUM,100346224.0
2018-01-31 00:30:00,226890983.319,281463000.0,73846224.0,True,qtum,1517358556,2234202094.0,2771574325.0,,Qtum,-1.43,-13.14,-5.17,0.00372565,30.2547912821,37.5317,16,QTUM,100346224.0
2018-01-31 00:40:00,223982527.615,277855000.0,73846260.0,True,qtum,1517359155,2201462547.0,2730960233.0,,Qtum,-2.05,-14.36,-6.54,0.00369629,29.8114291321,36.9817,16,QTUM,100346260.0
2018-01-31 00:50:00,222018836.347,275419000.0,73846260.0,True,qtum,1517359755,2150768136.0,2668072758.0,,Qtum,-3.28,-16.19,-8.68,0.00368305,29.1249433013,36.1301,16,QTUM,100346260.0
2018-01-31 01:01:00,222012387.443,275411000.0,73846288.0,True,qtum,1517360355,2106598839.0,2613279824.0,,Qtum,-4.9,-17.84,-10.53,0.00363528,28.526807455300002,35.3881,17,QTUM,100346288.0
2018-01-31 01:10:00,223132078.4,276800000.0,73846288.0,True,qtum,1517360955,2060994091.0,2556706183.0,,Qtum,-6.84,-19.59,-12.47,0.00359082,27.909244286,34.622,19,QTUM,100346288.0
2018-01-31 01:20:00,235003704.551,291527000.0,73846340.0,True,qtum,1517361556,2126482840.0,2637946342.0,,Qtum,-4.07,-16.89,-9.67,0.00362687,28.7960491973,35.7221,17,QTUM,100346340.0
2018-01-31 01:31:00,238340206.258,295666000.0,73846340.0,True,qtum,1517362156,2144192567.0,2659915628.0,,Qtum,-2.99,-16.08,-8.91,0.00368929,29.0358678148,36.0196,17,QTUM,100346340.0
2018-01-31 01:41:00,235089152.529,291633000.0,73846356.0,True,qtum,1517362754,2121036442.0,2631189972.0,,Qtum,-3.3,-16.91,-9.91,0.00366005,28.722289857800003,35.6306,18,QTUM,100346356.0
2018-01-31 01:50:00,236540155.929,293433000.0,73846356.0,True,qtum,1517363357,2138281851.0,2652583261.0,,Qtum,-0.15,-16.0,-9.15,0.00367899,28.9558207939,35.9203,16,QTUM,100346356.0
2018-01-31 02:01:00,235659074.42,292340000.0,73846388.0,True,qtum,1517363955,2148432392.0,2665175220.0,,Qtum,1.75,-15.44,-8.72,0.00368164,29.093263060399998,36.0908,17,QTUM,100346388.0
2018-01-31 02:10:00,241721044.18,299860000.0,73846388.0,True,qtum,1517364556,2205925050.0,2736496062.0,,Qtum,4.86,-13.0,-6.29,0.00376268,29.8718069958,37.0566,16,QTUM,100346388.0
2018-01-31 02:20:00,243576716.306,302162000.0,73846428.0,True,qtum,1517365156,2206110783.0,2736726468.0,,Qtum,4.05,-12.89,-6.3,0.00374538,29.8743059461,37.0597,17,QTUM,100346428.0
2018-01-31 02:30:00,242671451.407,301039000.0,73846428.0,True,qtum,1517365755,2197532717.0,2726085197.0,,Qtum,3.16,-13.08,-6.69,0.00373424,29.7581450628,36.9156,16,QTUM,100346428.0
2018-01-31 02:40:00,246906769.10900003,306293000.0,73846460.0,True,qtum,1517366355,2222291610.0,2756799121.0,,Qtum,4.31,-11.95,-5.65,0.00376629,30.0934074595,37.3315,16,QTUM,100346460.0
2018-01-31 02:50:00,256408423.04,318080000.0,73846460.0,True,qtum,1517366955,2277069820.0,2824752634.0,,Qtum,6.63,-9.59,-3.33,0.00387311,30.8351926421,38.2517,16,QTUM,100346460.0
2018-01-31 03:01:00,264287371.502,327854000.0,73846500.0,True,qtum,1517367555,2328670464.0,2888764310.0,,Qtum,7.75,-7.5,-1.13,0.00391446,31.5339313905,39.1185,16,QTUM,100346500.0
2018-01-31 03:10:00,261914174.83,324910000.0,73846500.0,True,qtum,1517368155,2275713801.0,2823070464.0,,Qtum,4.43,-9.52,-3.36,0.00381629,30.816813265700002,38.2289,16,QTUM,100346500.0
2018-01-31 03:20:00,260883962.41599998,323632000.0,73846532.0,True,qtum,1517368755,2255040487.0,2797424787.0,,Qtum,2.69,-10.34,-4.24,0.00378282,30.536850220799998,37.8816,16,QTUM,100346532.0
2018-01-31 03:30:00,257748182.846,319742000.0,73846532.0,True,qtum,1517369355,2211781017.0,2743760512.0,,Qtum,0.0,-12.04,-6.08,0.00374486,29.951047903699997,37.1549,16,QTUM,100346532.0
2018-01-31 03:40:00,260837207.86200002,323574000.0,73846564.0,True,qtum,1517369957,2224169893.0,2759129171.0,,Qtum,-0.53,-11.52,-5.56,0.00377724,30.118800019000002,37.363,16,QTUM,100346564.0
2018-01-31 03:50:00,263401453.315,326755000.0,73846564.0,True,qtum,1517370555,2240278353.0,2779112051.0,,Qtum,-1.04,-10.86,-4.87,0.00379371,30.336934196799998,37.6336,16,QTUM,100346564.0
2018-01-31 04:01:00,263621522.164,327028000.0,73846588.0,True,qtum,1517371155,2235850146.0,2773618768.0,,Qtum,-1.83,-11.01,-5.07,0.00376853,30.2769593896,37.5592,16,QTUM,100346588.0
2018-01-31 04:10:00,261054858.372,323844000.0,73846588.0,True,qtum,1517371755,2208127633.0,2739228412.0,,Qtum,-2.92,-12.08,-6.24,0.00375415,29.9015525655,37.0935,16,QTUM,100346588.0
2018-01-31 04:20:00,261262835.526,324102000.0,73846620.0,True,qtum,1517372355,2201741158.0,2731305857.0,,Qtum,-2.09,-12.31,-6.53,0.00374646,29.815056640599998,36.9862,16,QTUM,100346620.0
