,24h_volume_eur,24h_volume_usd,available_supply,cached,id,last_updated,market_cap_eur,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_eur,price_usd,rank,symbol,total_supply
2018-01-30 22:01:00,176147956.254,218258000.0,381245004.0,True,icon,1517349562,2654716882.0,3289355207.0,,ICON,0.04,-7.2,3.29,0.00084911,6.9632830696,8.627930000000001,15,ICX,400230000.0
2018-01-30 22:10:00,175214184.363,217101000.0,381245004.0,True,icon,1517350162,2662479869.0,3298974019.0,,ICON,0.43,-7.04,3.56,0.0008506999999999999,6.9836452690999975,8.65316,15,ICX,400230000.0
2018-01-30 22:20:00,175675824.39900002,217673000.0,381245004.0,True,icon,1517350763,2674818187.0,3314261943.0,,ICON,0.96,-6.75,4.05,0.00085022,7.0160084953999995,8.69326,15,ICX,400230000.0
2018-01-30 22:30:00,175526517.74400002,217488000.0,381245004.0,True,icon,1517351363,2686273439.0,3328455695.0,,ICON,0.93,-6.48,4.52,0.00085188,7.0460554509,8.73049,15,ICX,400230000.0
2018-01-30 22:40:00,176032546.245,218115000.0,381245004.0,True,icon,1517351962,2712565441.0,3361033081.0,,ICON,1.91,-5.75,5.62,0.00085689,7.1150189842,8.81594,15,ICX,400230000.0
2018-01-30 22:50:00,175057614.14099997,216907000.0,381245004.0,True,icon,1517352563,2676375092.0,3316191043.0,,ICON,0.63,-7.18,4.28,0.00084733,7.0200922342,8.698319999999999,15,ICX,400230000.0
2018-01-30 23:01:00,173997940.42200002,215594000.0,381245004.0,True,icon,1517353163,2641332422.0,3272771050.0,,ICON,-0.6,-8.57,2.97,0.0008395,6.9281758291,8.584430000000001,15,ICX,400230000.0
2018-01-30 23:10:00,172263562.035,213445000.0,381245004.0,True,icon,1517353763,2625301838.0,3252908185.0,,ICON,-1.55,-9.28,2.39,0.00083899,6.886127846799999,8.53233,15,ICX,400230000.0
2018-01-30 23:20:00,169570392.804,210108000.0,381245004.0,True,icon,1517354362,2604222083.0,3226789090.0,,ICON,-2.69,-10.15,1.61,0.0008363,6.830835960700001,8.46382,15,ICX,400230000.0
2018-01-30 23:30:00,167477678.445,207515000.0,381245004.0,True,icon,1517354962,2548035043.0,3157169940.0,,ICON,-5.23,-12.19,-0.56,0.00082444,6.6834581862,8.28121,15,ICX,400230000.0
2018-01-30 23:40:00,167702041.959,207793000.0,381245004.0,True,icon,1517355562,2569499409.0,3183765591.0,,ICON,-4.33,-11.51,0.27,0.00082752,6.7397589011,8.35097,15,ICX,400230000.0
2018-01-30 23:50:00,167348548.365,207355000.0,381245004.0,True,icon,1517356162,2555871875.0,3166880250.0,,ICON,-4.39,-12.03,-0.27,0.00082585,6.7040140808,8.30668,15,ICX,400230000.0
2018-01-31 00:01:00,166024615.141,205957000.0,381245004.0,True,icon,1517356762,2541231029.0,3152450126.0,,ICON,-4.12,-12.49,-0.73,0.00082679,6.6656113578,8.26883,15,ICX,400230000.0
2018-01-31 00:10:00,163079078.239,202303000.0,381245004.0,True,icon,1517357362,2526866586.0,3134630735.0,,ICON,-3.53,-12.99,-1.28,0.00082314,6.6279336362,8.22209,15,ICX,400230000.0
2018-01-31 00:20:00,162701011.242,201834000.0,381245004.0,True,icon,1517357962,2541836462.0,3153201179.0,,ICON,-1.96,-12.41,-0.66,0.0008244,6.6671994003999995,8.2708,15,ICX,400230000.0
2018-01-31 00:30:00,163781202.662,203174000.0,381245004.0,True,icon,1517358562,2511149906.0,3115133865.0,,ICON,-2.61,-13.47,-1.84,0.00081111,6.5867090173000005,8.17095,15,ICX,400230000.0
2018-01-31 00:40:00,163118577.776,202352000.0,381245004.0,True,icon,1517359162,2492544356.0,3092053293.0,,ICON,-2.66,-14.13,-2.54,0.00081063,6.5379069363,8.11041,15,ICX,400230000.0
2018-01-31 00:50:00,161347547.515,200155000.0,381245004.0,True,icon,1517359762,2446556011.0,3035003790.0,,ICON,-4.22,-15.54,-4.32,0.00081151,6.417280187,7.96077,15,ICX,400230000.0
2018-01-31 01:01:00,159431416.914,197778000.0,381245004.0,True,icon,1517360361,2414071594.0,2994706194.0,,ICON,-5.19,-16.54,-5.59,0.00080692,6.3320740428999995,7.855069999999999,15,ICX,400230000.0
2018-01-31 01:10:00,157789364.73299998,195741000.0,381245004.0,True,icon,1517360962,2372542557.0,2943188556.0,,ICON,-6.31,-17.86,-7.18,0.00080067,6.223143993200001,7.7199399999999985,15,ICX,400230000.0
2018-01-31 01:20:00,161472495.03,200310000.0,381245004.0,True,icon,1517361564,2457023553.0,3047988995.0,,ICON,-2.5,-14.8,-3.87,0.00081172,6.444736395800001,7.99483,15,ICX,400230000.0
2018-01-31 01:31:00,159943298.669,198413000.0,381245004.0,True,icon,1517362162,2407562417.0,2986631424.0,,ICON,-3.9,-16.37,-5.79,0.00080238,6.3150005696,7.8338899999999985,15,ICX,400230000.0
2018-01-31 01:41:00,159234725.342,197534000.0,381245004.0,True,icon,1517362762,2423005577.0,3005788986.0,,ICON,-2.37,-15.68,-5.16,0.00080988,6.3555077478,7.884139999999999,15,ICX,400230000.0
2018-01-31 01:50:00,159323397.772,197644000.0,381245004.0,True,icon,1517363364,2434192263.0,3019666304.0,,ICON,-0.45,-15.11,-4.69,0.00081123,6.384850261,7.920539999999999,15,ICX,400230000.0
2018-01-31 02:01:00,159171848.528,197456000.0,381245004.0,True,icon,1517363962,2442158168.0,3029548174.0,,ICON,0.91,-14.63,-4.37,0.00081062,6.40574471,7.946460000000001,15,ICX,400230000.0
2018-01-31 02:10:00,159674056.92700002,198079000.0,381245004.0,True,icon,1517364562,2466194177.0,3059365346.0,,ICON,2.01,-13.59,-3.44,0.00081481,6.4687908077,8.02467,15,ICX,400230000.0
2018-01-31 02:20:00,160347161.282,198914000.0,381245004.0,True,icon,1517365163,2468941677.0,3062773677.0,,ICON,2.39,-13.33,-3.34,0.0008119,6.475997457899999,8.033610000000001,15,ICX,400230000.0
2018-01-31 02:30:00,160298794.502,198854000.0,381245004.0,True,icon,1517365761,2447265935.0,3035884466.0,,ICON,1.14,-14.05,-4.18,0.00080551,6.419142308,7.9630800000000015,15,ICX,400230000.0
2018-01-31 02:40:00,159890095.211,198347000.0,381245004.0,True,icon,1517366362,2448086497.0,3036902391.0,,ICON,1.18,-13.92,-4.11,0.00080365,6.4212946297,7.96575,15,ICX,400230000.0
2018-01-31 02:50:00,158878423.396,197092000.0,381245004.0,True,icon,1517366962,2445812280.0,3034081178.0,,ICON,0.51,-14.0,-4.16,0.00080581,6.4153293935,7.95835,15,ICX,400230000.0
2018-01-31 03:01:00,160983990.55200002,199704000.0,381245004.0,True,icon,1517367562,2533185220.0,3142469132.0,,ICON,3.49,-10.99,-0.68,0.00082482,6.644507319400001,8.24265,15,ICX,400230000.0
2018-01-31 03:10:00,161753828.467,200659000.0,381245004.0,True,icon,1517368163,2530440793.0,3139064614.0,,ICON,3.06,-11.18,-0.72,0.00082195,6.6373087304,8.23372,15,ICX,400230000.0
2018-01-31 03:20:00,161373343.131,200187000.0,381245004.0,True,icon,1517368762,2514810165.0,3119674493.0,,ICON,2.44,-11.83,-1.26,0.00081713,6.5963098232,8.18286,15,ICX,400230000.0
2018-01-31 03:30:00,159912666.375,198375000.0,381245004.0,True,icon,1517369362,2477835707.0,3073806907.0,,ICON,1.09,-13.44,-2.68,0.00081263,6.499326368099999,8.06255,15,ICX,400230000.0
2018-01-31 03:40:00,159244398.69799998,197546000.0,381245004.0,True,icon,1517369961,2500593239.0,3102038100.0,,ICON,2.09,-12.82,-1.69,0.00082258,6.5590190358000005,8.1366,15,ICX,400230000.0
2018-01-31 03:50:00,161065407.965,199805000.0,381245004.0,True,icon,1517370562,2534479064.0,3144074174.0,,ICON,2.33,-11.82,-0.3,0.00083134,6.6479010552,8.24686,15,ICX,400230000.0
2018-01-31 04:01:00,162423708.37,201490000.0,381245004.0,True,icon,1517371161,2592056694.0,3215500425.0,,ICON,3.82,-9.99,1.98,0.00084625,6.7989263257,8.43421,15,ICX,400230000.0
2018-01-31 04:10:00,161418485.459,200243000.0,381245004.0,True,icon,1517371762,2545312325.0,3157513060.0,,ICON,1.06,-11.73,0.17,0.00083822,6.6763165384,8.282110000000001,15,ICX,400230000.0
2018-01-31 04:20:00,161132315.34399998,199888000.0,381245004.0,True,icon,1517372361,2550582976.0,3164051412.0,,ICON,1.43,-11.67,0.38,0.00084066,6.6901413764,8.29926,15,ICX,400230000.0
2018-01-31 04:30:00,157861108.79,195830000.0,381245004.0,True,icon,1517372962,2542346624.0,3153834046.0,,ICON,1.69,-12.16,0.11,0.00084001,6.668537548,8.27246,15,ICX,400230000.0
